"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-ad122ad5f8211653bd3bca3c","FD_G1","H","H","H","True","False","59.348757810758","66","40.651242189242"
"FAI-25b8f9d3bee528c1132c8fc4","FD_G1","A","A","H","True","True","39.3491144103455","12","72.4973443577537"
"FAI-cc091a7f5fc455a3e67a22ab","FD_G1","D","A","H","False","True","41.1608609747032","23","70.6200963019168"
"FAI-6dfae9a9f016e657201bfedc","FD_G1","H","H","H","True","False","40.4069960969821","18","59.5930039030179"
"FAI-5332596f7926406cbf5b480d","FD_G1","H","H","H","True","False","50.4126238772474","47","49.5873761227526"
"FAI-787275057bd923940e634843","FD_G1","H","H","H","True","False","34.67157244055","4","65.32842755945"
"FAI-741c48ce82115cbaad19e11e","FD_G1","D","A","A","False","True","49.397074289495","39","50.602925710505"
"FAI-8f856e6929d3e0d50d5ae9a5","FD_G1","H","H","H","True","False","72.6128244798793","100","27.3871755201207"
"FAI-637ede57a72b52ead3a0a3af","FD_G1","D","A","H","False","True","37.4824869006535","7","66.0749306292358"
"FAI-239ddfad4c0acdc5bcc4a725","FD_G1","D","A","A","False","True","53.9869264325997","57","46.0130735674003"
"FAI-42c94292720cefdfe4ca2cd1","FD_G1","D","A","A","False","True","65.5968305184646","86","34.4031694815354"
"FAI-ff70b1cd16fc18e8810fda83","FD_G1","A","A","H","True","True","38.3050379821309","14","69.4061545197108"
"FAI-5457125293a9bfc8d7218f4c","FD_G1","A","A","A","True","False","39.8999529507776","18","60.1000470492224"
"FAI-476580c33d661c6fb735f2a5","FD_G1","H","H","H","True","False","42.8933717444756","26","57.1066282555244"
"FAI-6c1347d31098ac8ae47e44bc","FD_G1","H","H","H","True","False","47.4516630123525","32","52.5483369876475"
"FAI-2dd359943673c15bb986afb5","FD_G1","A","A","A","True","False","51.575066014348","50","48.424933985652"
"FAI-d772f447d5daac211a45bfb4","FD_G1","D","A","A","False","True","46.6222559893829","31","53.3777440106171"
"FAI-f689bb47f92c6319c153ad66","FD_G1","D","H","H","False","True","69.8673957242755","96","30.1326042757245"
"FAI-ca2c87b972d22d37621ad996","FD_G1","H","H","H","True","False","51.3977277330944","47","48.6022722669056"
"FAI-cd7c6dacb75c6c369e8e302c","FD_G1","D","H","H","False","True","41.5917670078786","19","58.4082329921214"
"FAI-5fa0cc989acd0c6ab1ec851b","FD_G1","D","A","H","False","True","36.4671658582498","1","64.0919558613503"
"FAI-3b4e9d8840d538238a70b3de","FD_G1","A","A","A","True","False","52.6230488448248","44","47.3769511551752"
"FAI-1fba178b02bd5eee709aa04a","FD_G1","H","A","A","False","True","68.1441987737747","95","31.8558012262253"
"FAI-2dfb72f61bd4211b00c12fed","FD_G1","A","A","A","True","False","55.8511953092105","58","44.1488046907895"
"FAI-fe3ee8b8825f881c7f655e99","FD_G1","H","H","H","True","False","48.4047606785304","39","51.5952393214696"
"FAI-d7df9772ff7f3aa185ce7f33","FD_G1","H","H","H","True","False","40.348371190444","16","59.651628809556"
"FAI-ef2bb52270cdb62e3a7e24ac","FD_G1","H","H","H","True","False","42.1631794172259","26","57.8368205827741"
"FAI-cc159919344a60795b44b0ec","FD_G1","A","H","H","False","True","42.5636153381885","27","57.4363846618115"
"FAI-362b8ad93e396e341331be4b","FD_G1","A","A","A","True","False","66.0364337850682","86","33.9635662149318"
"FAI-de55e54fe043773e460a30ac","FD_G1","A","A","A","True","False","53.9869264325997","57","46.0130735674003"
"FAI-7089244b59abfcc81a98fe31","FD_G1","H","H","H","True","False","40.348371190444","16","59.651628809556"
