"Dataset","SourceMatchID","Status","Reasons"
"international_matches","2021-06-23_Bolivia_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Chile_Paraguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Argentina_Bolivia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Uruguay_Paraguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-24_Colombia_Brazil","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-24_Ecuador_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-27_Brazil_Ecuador","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-27_Venezuela_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-28_Colombia_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-28_Brazil_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-28_Ecuador_Brazil","QUARANTINED","UNVERIFIABLE_SOURCE"
